Performer,Song,spotify_genre
Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Adina Howard,[Freak] And U Know It,"['hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
Playboi Carti,@ MEH,"['atl hip hop', 'plugg', 'rap', 'trap']"
Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,"['dance pop', 'pop', 'pop rap', 'r&b']"
Goody Goody,#1 Dee Jay,['pop rap']
Nelly,#1,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']"
John Lennon,#9 Dream,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
Mariah Carey Featuring Miguel,#Beautiful,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
The Chainsmokers,#SELFIE,"['electropop', 'pop', 'tropical house']"
will.i.am Featuring Justin Bieber,#thatPOWER,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,"['pop rap', 'rap']"
Drake,0 To 100 / The Catch Up,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Lil Yachty,1 Night,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Amerie,1 Thing,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Gloria Estefan & Miami Sound Machine,1/2/2003,[]
Len Barry,1/2/2003,['philly soul']
The Chimes,1/2/2003,[]
East Coast Family,1-4-All-4-1,
Logic Featuring Alessia Cara & Khalid,1-800-273-8255,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
E-40 (Featuring Leviti),1-Luv,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast rap']"
Luke Combs & Brooks & Dunn,"1, 2 Many",['contemporary country']
Ciara Featuring Missy Elliott,"1, 2 Step","['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']"
Coolio,"1, 2, 3, 4 (Sumpin' New)","['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Plain White T's,"1, 2, 3, 4","['neo mellow', 'pop', 'pop punk', 'pop rock']"
1910 Fruitgum Co.,"1, 2, 3, Red Light",
Eloise Laws,"1,000 Laughs",['northern soul']
21 Savage,1.5,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Gloria Estefan & Miami Sound Machine,1/2/2003,"['dance pop', 'latin pop', 'new wave pop', 'soft rock']"
Beyonce,1+1,"['dance pop', 'pop', 'pop rap', 'r&b']"
Drake,10 Bands,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Metro Boomin Featuring 21 Savage,10 Freaky Girls,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Johnny Bond,10 Little Bottles,"['cowboy western', 'oklahoma country']"
Face To Face,10/9/2008,"['emo', 'melodic hardcore', 'punk', 'ska punk', 'skate punk']"
Dan + Shay & Justin Bieber,"10,000 Hours","['contemporary country', 'pop']"
Mac Miller,100 Grandkids,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Five For Fighting,100 Years,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'post-grunge']"
Nancy Sinatra,100 Years,"['adult standards', 'brill building pop', 'folk rock', 'lounge']"
J. Cole & Bas,100.mil',
Crystal Waters,100% Pure Love,"['disco house', 'diva house', 'hip house', 'vocal house']"
The Game Featuring Drake,100,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Feist,1234,"['art pop', 'canadian indie', 'canadian pop', 'chamber pop', 'indie pop', 'indie rock', 'slow core', 'stomp and holler']"
Seatrain,13 Questions,[]
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,"['melodic rap', 'rap', 'trap']"
Bobby Russell,1432 Franklin Pike Circle Hero,[]
Bobby Brackins Featuring Ray J,143,"['cali rap', 'slow game']"
Marc Nelson,15 Minutes,[]
The Crests,16 Candles,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
Brantley Gilbert,17 Again,"['contemporary country', 'country', 'country road', 'modern country rock']"
Rick James,17,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
Skid Row,18 And Life,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
Bobby Darin,18 Yellow Roses,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
One Direction,18,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
Mark Wills,19 Somethin',"['contemporary country', 'country', 'country road']"
Dan + Shay,19 You + Me,"['contemporary country', 'pop']"
Liz Damon's Orient Express,1900 Yesterday,[]
Phoenix,1901,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave']"
Mike Reilly,1927 Kansas City,[]
Tom Northcott,1941,['sunshine pop']
Meek Mill,1942 Flows,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,"['hip hop', 'indie pop rap', 'pop rap', 'rap']"
James Blunt,1973,"['neo mellow', 'pop', 'pop rock']"
The Smashing Pumpkins,1979,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']"
Spirit,1984,[]
J. Cole,1985 (Intro To The Fall Off),"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
Bowling For Soup,1985,"['comic', 'pop punk', 'post-grunge', 'texas pop punk']"
Jason Aldean,1994,"['contemporary country', 'country', 'country road']"
Prince,1999,"['bachata', 'latin', 'latin pop', 'reggaeton', 'tropical']"
Paul Hardcastle,19,"['jazz funk', 'smooth jazz']"
The Rolling Stones,19th Nervous Breakdown,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Bone Thugs-N-Harmony,1st Of Tha Month,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Yung Joc Featuring Marques Houston & Trey Songz,1st Time,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Spice Girls,2 Become 1,"['dance pop', 'europop', 'girl group', 'pop', 'pop rock']"
M.C. Hammer,2 Legit 2 Quit,[]
Justin Bieber,2 Much,"['canadian pop', 'pop', 'post-teen pop']"
Tinashe Featuring ScHoolboy Q,2 On,"['alternative r&b', 'dance pop', 'deep pop r&b', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
Kevin Gates,2 Phones,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Trey Songz Featuring T.I.,2 Reasons,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']"
Unk,2 Step,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Missjones,2 Way Street,[]
Willie Mitchell,20-75,"['classic soul', 'funk', 'instrumental soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul']"
George Benson,20/20,"['adult standards', 'disco', 'jazz funk', 'jazz guitar', 'motown', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'yacht rock']"
Lil Tjay,20/20,"['brooklyn drill', 'melodic rap', 'nyc rap']"
Jay Sean Featuring Nicki Minaj,2012 (It Ain't The End),"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
Green Day,21 Guns,"['modern rock', 'permanent wave', 'punk']"
50 Cent Featuring Nate Dogg,21 Questions,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Polo G,21,['chicago rap']
Willow,21st Century Girl,"['dance pop', 'electropop', 'pop']"
YNW Melly & 9lokknine,223's,"['melodic rap', 'rap', 'trap']"
Taylor Swift,22,"['pop', 'post-teen pop']"
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
TeeFLii Featuring 2 Chainz,24 Hours,"['deep pop r&b', 'west coast trap']"
T.I.,24's,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Dino,24/7,"['sevdah', 'turbo folk', 'yugoslav rock']"
Kevon Edmonds,24/7,"['new jack swing', 'r&b', 'urban contemporary']"
Meek Mill Featuring Ella Mai,24/7,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Meek Mill Featuring Ella Mai,24/7,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Bruno Mars,24K Magic,"['dance pop', 'pop']"
Money Man Featuring Lil Baby,24,
Chicago,25 Or 6 To 4,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Eminem,25 To Life,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
The Wilkinsons,26 Cents,"['canadian country', 'country']"
David Guetta Featuring Justin Bieber,2U,"['dance pop', 'edm', 'pop']"
The KLF,3 A.M. Eternal,['acid house']
Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,
Gunna Featuring Young Thug,3 Headed Snake,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
Nu Flavor,3 Little Words,['boy band']
Lil Wayne,3 Peat,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Redhead Kingpin & The F.B.I.,3-2-1 Pump,[]
Drake,30 For 30 Freestyle,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Willie Mitchell,30-60-90,"['classic soul', 'funk', 'instrumental soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul']"
Brian Hyland,3000 Miles,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Future,31 Days,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Shirelles,31 Flavors,"['adult standards', 'brill building pop', 'classic girl group', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Alana Davis,32 Flavors,"['ectofolk', 'lilith']"
Polo G,33,['chicago rap']
Ariana Grande,34+35,"['dance pop', 'pop', 'post-teen pop']"
Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35,
Travi$ Scott Featuring Future & 2 Chainz,3500,
Grand Puba,360 Degrees (What Goes Around),"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'turntablism']"
Zedd & Katy Perry,365,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']"
Eminem,3am,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
Britney Spears,3,"['dance pop', 'pop', 'post-teen pop']"
Herb Alpert & The Tijuana Brass,3rd Man Theme,"['adult standards', 'easy listening', 'lounge']"
The Beatles,4 - By The Beatles,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
2 Chainz Featuring Travis Scott,4:00 AM,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Melanie Fiona,4:00 AM,"['canadian pop', 'dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
42 Dugg & Roddy Ricch,4 Da Gang,
Future,4 Da Gang,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lil' Mo Featuring Fabolous,4 Ever,"['hip pop', 'r&b', 'urban contemporary']"
Gwen Stefani,4 In The Morning,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop']"
Avant,4 Minutes,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
Glee Cast,4 Minutes,"['glee club', 'hollywood', 'post-teen pop']"
Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,"['dance pop', 'pop']"
Birdman Featuring Drake & Lil Wayne,4 My Town (Play Ball),"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Boyz II Men,4 Seasons Of Loneliness,"['boy band', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
J. Cole,4 Your Eyez Only,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
"LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P","4, 3, 2, 1","['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
Sole Featuring JT Money & Kandi,"4, 5, 6","['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'nc hip hop']"
JAY-Z,4:44,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
The Beach Boys,409,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
Pop Smoke,44 Bulldog,['brooklyn drill']
Logic,44 More,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
The Pixies Three,442 Glenwood Avenue,['classic girl group']
Drake Featuring Sampha,4422,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Lil Uzi Vert,444+222,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']"
KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,"['hip hop', 'rap']"
The Byrds,5 D (Fifth Dimension),"['album rock', 'art rock', 'blues rock', 'brill building pop', 'bubblegum pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'traditional folk']"
Brownstone,5 Miles To Empty,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Nonchalant,5 O'Clock,['hip pop']
T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Yo Gotti,5 Star,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Dierks Bentley,5-1-5-0,"['contemporary country', 'country', 'country road', 'modern country rock']"
The Presidents,5-10-15-20 (25-30 Years Of Love),"['alternative metal', 'alternative rock', 'comic', 'garage rock', 'grunge', 'pop rock', 'post-grunge', 'rock']"
Jade,5-4-3-2 (Yo! Time Is Up),"['folk-pop', 'indie folk', 'uk americana']"
The Who,5:15,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']"
City Boy,5.7.0.5.,[]
Travis Scott,5% Tint,['rap']
Paul Simon,50 Ways To Leave Your Lover,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Train,50 Ways To Say Goodbye,"['neo mellow', 'pop', 'pop rock']"
Bobby Bare,500 Miles Away From Home,"['classic country pop', 'country', 'country rock', 'outlaw country']"
Hooters,500 Miles,"['album rock', 'mellow gold', 'philly indie', 'soft rock']"
Bruce Springsteen,57 Channels (And Nothin' On),"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Drake,6 God,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Beyonce Featuring The Weeknd,6 Inch,"['dance pop', 'pop', 'pop rap', 'r&b']"
Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,"['melodic rap', 'rap', 'trap']"
Drake,6 Man,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
LL Cool J,6 Minutes Of Pleasure,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
Sneaker Pimps,6 Underground,"['alternative dance', 'electronica', 'trip hop']"
Wilson Pickett,"634-5789 (Soulsville, U.S.A.)","['brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
Lil Yachty Featuring Trippie Redd,66,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Fetty Wap Featuring Remy Boyz,679,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Love,7 And 7 Is,"['adult standards', 'brill building pop', 'motown']"
Craig David,7 Days,"['british soul', 'dance pop', 'pop', 'r&b', 'tropical house', 'urban contemporary']"
Ariana Grande,7 Rings,"['dance pop', 'pop', 'post-teen pop']"
Four Tops,7 Rooms Of Gloom,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Youssou N'Dour & Neneh Cherry,7 Seconds,"['afropop', 'mande pop', 'mbalax', 'world']"
Morgan Wallen,7 Summers,['contemporary country']
Miley Cyrus,7 Things,"['dance pop', 'pop', 'post-teen pop']"
Lukas Graham,7 Years,"['danish pop', 'pop', 'scandipop']"
Gary Toms Empire,7-6-5-4-3-2-1 (Blow Your Whistle),[]
The Five Americans,7:30 Guided Tour,"['bubblegum pop', 'classic garage rock', 'freakbeat']"
Beyonce,11-Jul,"['dance pop', 'pop', 'pop rap', 'r&b']"
The Big Sound Of Don Ralke,77 Sunset Strip,
The Time,777-9311,"['electro', 'funk', 'funk rock', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm']"
Prince And The New Power Generation,7,"['funk', 'funk rock', 'minneapolis sound', 'motown']"
Drake,8 Out Of 10,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Bill Anderson,8 X 10,['nashville sound']
Blaque,808,[]
Maren Morris,80s Mercedes,"['contemporary country', 'pop', 'texas country']"
Squeeze,853-5937,"['art rock', 'classic uk pop', 'dance rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock']"
